PING 10.0.0.219 (10.0.0.219) 56(84) bytes of data.
64 bytes from 10.0.0.219: icmp_seq=1 ttl=64 time=0.503 ms
64 bytes from 10.0.0.219: icmp_seq=2 ttl=64 time=0.468 ms
64 bytes from 10.0.0.219: icmp_seq=3 ttl=64 time=0.508 ms
64 bytes from 10.0.0.219: icmp_seq=4 ttl=64 time=0.481 ms
64 bytes from 10.0.0.219: icmp_seq=5 ttl=64 time=0.477 ms
64 bytes from 10.0.0.219: icmp_seq=6 ttl=64 time=0.468 ms
64 bytes from 10.0.0.219: icmp_seq=7 ttl=64 time=0.490 ms
64 bytes from 10.0.0.219: icmp_seq=8 ttl=64 time=0.477 ms
64 bytes from 10.0.0.219: icmp_seq=9 ttl=64 time=0.493 ms
64 bytes from 10.0.0.219: icmp_seq=10 ttl=64 time=0.494 ms
64 bytes from 10.0.0.219: icmp_seq=11 ttl=64 time=0.166 ms
64 bytes from 10.0.0.219: icmp_seq=12 ttl=64 time=0.424 ms
64 bytes from 10.0.0.219: icmp_seq=13 ttl=64 time=0.434 ms
64 bytes from 10.0.0.219: icmp_seq=14 ttl=64 time=0.469 ms
64 bytes from 10.0.0.219: icmp_seq=15 ttl=64 time=0.261 ms
64 bytes from 10.0.0.219: icmp_seq=16 ttl=64 time=0.511 ms
64 bytes from 10.0.0.219: icmp_seq=17 ttl=64 time=0.480 ms
64 bytes from 10.0.0.219: icmp_seq=18 ttl=64 time=0.474 ms
64 bytes from 10.0.0.219: icmp_seq=19 ttl=64 time=0.470 ms
64 bytes from 10.0.0.219: icmp_seq=20 ttl=64 time=0.479 ms
64 bytes from 10.0.0.219: icmp_seq=21 ttl=64 time=0.471 ms
64 bytes from 10.0.0.219: icmp_seq=22 ttl=64 time=0.477 ms
64 bytes from 10.0.0.219: icmp_seq=23 ttl=64 time=0.524 ms
64 bytes from 10.0.0.219: icmp_seq=24 ttl=64 time=0.475 ms
64 bytes from 10.0.0.219: icmp_seq=25 ttl=64 time=0.477 ms
64 bytes from 10.0.0.219: icmp_seq=26 ttl=64 time=0.498 ms
64 bytes from 10.0.0.219: icmp_seq=27 ttl=64 time=0.474 ms
