step,index,T,S,D,S_minus_T,D_minus_T,D_minus_S,abs_S_minus_T,abs_D_minus_T,abs_D_minus_S
0,818,19.25,19.25,19.375,0.0,0.125,0.125,0.0,0.125,0.125
0,147505,14.125,14.25,14.125,0.125,0.0,-0.125,0.125,0.0,0.125
0,93480,12.9375,12.9375,12.9375,0.0,0.0,0.0,0.0,0.0,0.0
0,109090,9.3125,9.1875,9.0625,-0.125,-0.25,-0.125,0.125,0.25,0.125
0,44281,5.875,5.71875,5.71875,-0.15625,-0.15625,0.0,0.15625,0.15625,0.0
0,159416,4.65625,4.5625,4.625,-0.09375,-0.03125,0.0625,0.09375,0.03125,0.0625
0,25694,4.5,4.28125,4.25,-0.21875,-0.25,-0.03125,0.21875,0.25,0.03125
0,11146,4.5,4.5625,4.3125,0.0625,-0.1875,-0.25,0.0625,0.1875,0.25
0,1018,4.5,4.5,4.46875,0.0,-0.03125,-0.03125,0.0,0.03125,0.03125
0,32899,4.09375,4.0625,4.0,-0.03125,-0.09375,-0.0625,0.03125,0.09375,0.0625
0,1437,3.890625,4.125,4.03125,0.234375,0.140625,-0.09375,0.234375,0.140625,0.09375
0,10450,3.5625,3.546875,3.53125,-0.015625,-0.03125,-0.015625,0.015625,0.03125,0.015625
0,669,3.515625,3.34375,3.484375,-0.171875,-0.03125,0.140625,0.171875,0.03125,0.140625
0,116499,3.015625,3.109375,2.953125,0.09375,-0.0625,-0.15625,0.09375,0.0625,0.15625
0,23244,2.546875,2.65625,2.59375,0.109375,0.046875,-0.0625,0.109375,0.046875,0.0625
0,92903,2.515625,2.578125,2.59375,0.0625,0.078125,0.015625,0.0625,0.078125,0.015625
0,2205,2.453125,2.515625,2.53125,0.0625,0.078125,0.015625,0.0625,0.078125,0.015625
0,69073,2.390625,2.359375,2.453125,-0.03125,0.0625,0.09375,0.03125,0.0625,0.09375
0,14947,2.140625,2.125,2.078125,-0.015625,-0.0625,-0.046875,0.015625,0.0625,0.046875
0,902,1.9609375,1.9453125,1.9765625,-0.015625,0.015625,0.03125,0.015625,0.015625,0.03125
0,91005,1.53125,1.671875,1.6640625,0.140625,0.1328125,-0.0078125,0.140625,0.1328125,0.0078125
0,132473,1.4375,1.5859375,1.65625,0.1484375,0.21875,0.0703125,0.1484375,0.21875,0.0703125
0,236829,1.1640625,1.2890625,1.1640625,0.125,0.0,-0.125,0.125,0.0,0.125
0,22515,1.078125,1.171875,1.0546875,0.09375,-0.0234375,-0.1171875,0.09375,0.0234375,0.1171875
0,140505,0.98828125,1.0,0.98828125,0.01171875,0.0,-0.01171875,0.01171875,0.0,0.01171875
0,126515,0.84765625,0.87890625,0.86328125,0.03125,0.015625,-0.015625,0.03125,0.015625,0.015625
0,79629,0.64453125,0.70703125,0.65234375,0.0625,0.0078125,-0.0546875,0.0625,0.0078125,0.0546875
0,19892,0.458984375,0.62109375,0.490234375,0.162109375,0.03125,-0.130859375,0.162109375,0.03125,0.130859375
0,41866,0.3671875,0.55859375,0.4375,0.19140625,0.0703125,-0.12109375,0.19140625,0.0703125,0.12109375
0,236769,0.337890625,0.490234375,0.322265625,0.15234375,-0.015625,-0.16796875,0.15234375,0.015625,0.16796875
0,115218,0.322265625,0.423828125,0.412109375,0.1015625,0.08984375,-0.01171875,0.1015625,0.08984375,0.01171875
0,165684,0.314453125,0.361328125,0.30859375,0.046875,-0.005859375,-0.052734375,0.046875,0.005859375,0.052734375
1,6073,20.0,20.0,19.875,0.0,-0.125,-0.125,0.0,0.125,0.125
1,21530,2.71875,2.6875,2.484375,-0.03125,-0.234375,-0.203125,0.03125,0.234375,0.203125
1,18188,1.9765625,1.90625,1.828125,-0.0703125,-0.1484375,-0.078125,0.0703125,0.1484375,0.078125
1,2870,-0.6015625,-0.51953125,-0.86328125,0.08203125,-0.26171875,-0.34375,0.08203125,0.26171875,0.34375
1,73686,-1.5390625,-1.6796875,-1.7890625,-0.140625,-0.25,-0.109375,0.140625,0.25,0.109375
1,105405,-2.359375,-2.40625,-2.625,-0.046875,-0.265625,-0.21875,0.046875,0.265625,0.21875
1,506,-2.515625,-2.390625,-2.609375,0.125,-0.09375,-0.21875,0.125,0.09375,0.21875
1,119331,-2.53125,-2.703125,-2.6875,-0.171875,-0.15625,0.015625,0.171875,0.15625,0.015625
1,5213,-2.640625,-2.53125,-2.671875,0.109375,-0.03125,-0.140625,0.109375,0.03125,0.140625
1,236789,-3.09375,-3.046875,-3.21875,0.046875,-0.125,-0.171875,0.046875,0.125,0.171875
1,9734,-3.171875,-3.09375,-3.40625,0.078125,-0.234375,-0.3125,0.078125,0.234375,0.3125
1,44623,-3.53125,-3.484375,-3.640625,0.046875,-0.109375,-0.15625,0.046875,0.109375,0.15625
1,2803,-3.78125,-3.71875,-3.8125,0.0625,-0.03125,-0.09375,0.0625,0.03125,0.09375
1,68191,-4.0,-4.34375,-4.3125,-0.34375,-0.3125,0.03125,0.34375,0.3125,0.03125
1,78104,-4.4375,-4.59375,-4.71875,-0.15625,-0.28125,-0.125,0.15625,0.28125,0.125
1,4532,-4.59375,-4.40625,-4.65625,0.1875,-0.0625,-0.25,0.1875,0.0625,0.25
1,8520,-4.71875,-4.5625,-4.8125,0.15625,-0.09375,-0.25,0.15625,0.09375,0.25
1,621,-4.71875,-4.59375,-4.71875,0.125,0.0,-0.125,0.125,0.0,0.125
1,3413,-4.75,-4.6875,-4.78125,0.0625,-0.03125,-0.09375,0.0625,0.03125,0.09375
1,507,-4.75,-4.59375,-4.78125,0.15625,-0.03125,-0.1875,0.15625,0.03125,0.1875
1,116355,-4.8125,-4.71875,-4.84375,0.09375,-0.03125,-0.125,0.09375,0.03125,0.125
1,1156,-5.09375,-5.125,-5.59375,-0.03125,-0.5,-0.46875,0.03125,0.5,0.46875
1,3670,-5.125,-4.90625,-5.0,0.21875,0.125,-0.09375,0.21875,0.125,0.09375
1,62633,-5.21875,-5.21875,-5.3125,0.0,-0.09375,-0.09375,0.0,0.09375,0.09375
1,4518,-5.40625,-5.21875,-5.5625,0.1875,-0.15625,-0.34375,0.1875,0.15625,0.34375
1,7963,-5.40625,-5.25,-5.40625,0.15625,0.0,-0.15625,0.15625,0.0,0.15625
1,15841,-5.4375,-5.375,-5.5625,0.0625,-0.125,-0.1875,0.0625,0.125,0.1875
1,568,-5.53125,-5.46875,-5.53125,0.0625,0.0,-0.0625,0.0625,0.0,0.0625
1,17748,-5.5625,-5.40625,-5.5625,0.15625,0.0,-0.15625,0.15625,0.0,0.15625
1,16813,-5.59375,-5.59375,-5.65625,0.0,-0.0625,-0.0625,0.0,0.0625,0.0625
1,4185,-5.71875,-5.6875,-5.65625,0.03125,0.0625,0.03125,0.03125,0.0625,0.03125
1,1791,-5.71875,-5.65625,-5.8125,0.0625,-0.09375,-0.15625,0.0625,0.09375,0.15625
7,532,23.5,23.5,23.625,0.0,0.125,0.125,0.0,0.125,0.125
7,236764,8.75,8.75,8.8125,0.0,0.0625,0.0625,0.0,0.0625,0.0625
7,1402,5.875,5.9375,5.75,0.0625,-0.125,-0.1875,0.0625,0.125,0.1875
7,1079,4.8125,4.65625,4.625,-0.15625,-0.1875,-0.03125,0.15625,0.1875,0.03125
7,238229,4.25,4.21875,4.1875,-0.03125,-0.0625,-0.03125,0.03125,0.0625,0.03125
7,3884,2.84375,2.828125,2.6875,-0.015625,-0.15625,-0.140625,0.015625,0.15625,0.140625
7,237842,2.328125,2.46875,2.171875,0.140625,-0.15625,-0.296875,0.140625,0.15625,0.296875
7,237206,1.828125,1.828125,1.65625,0.0,-0.171875,-0.171875,0.0,0.171875,0.171875
7,941,1.546875,1.5234375,1.359375,-0.0234375,-0.1875,-0.1640625,0.0234375,0.1875,0.1640625
7,236746,1.484375,1.34375,1.71875,-0.140625,0.234375,0.375,0.140625,0.234375,0.375
7,17996,1.2890625,1.4140625,1.2734375,0.125,-0.015625,-0.140625,0.125,0.015625,0.140625
7,578,0.89453125,0.92578125,0.90625,0.03125,0.01171875,-0.01953125,0.03125,0.01171875,0.01953125
7,1212,0.671875,0.65234375,0.51953125,-0.01953125,-0.15234375,-0.1328125,0.01953125,0.15234375,0.1328125
7,236772,0.34765625,0.330078125,0.326171875,-0.017578125,-0.021484375,-0.00390625,0.017578125,0.021484375,0.00390625
7,236744,0.009033203125,0.06591796875,0.26953125,0.056884765625,0.260498046875,0.20361328125,0.056884765625,0.260498046875,0.20361328125
7,236762,0.00732421875,0.19921875,0.232421875,0.19189453125,0.22509765625,0.033203125,0.19189453125,0.22509765625,0.033203125
7,568,-0.046875,0.05078125,-0.035400390625,0.09765625,0.011474609375,-0.086181640625,0.09765625,0.011474609375,0.086181640625
7,990,-0.0791015625,0.06689453125,0.10009765625,0.14599609375,0.17919921875,0.033203125,0.14599609375,0.17919921875,0.033203125
7,1008,-0.1259765625,-0.00537109375,0.044189453125,0.12060546875,0.170166015625,0.049560546875,0.12060546875,0.170166015625,0.049560546875
7,624,-0.1572265625,-0.06982421875,0.0147705078125,0.08740234375,0.1719970703125,0.0845947265625,0.08740234375,0.1719970703125,0.0845947265625
7,7519,-0.21875,-0.1328125,-0.0537109375,0.0859375,0.1650390625,0.0791015625,0.0859375,0.1650390625,0.0791015625
7,525,-0.25390625,-0.0194091796875,-0.06884765625,0.2344970703125,0.18505859375,-0.0494384765625,0.2344970703125,0.18505859375,0.0494384765625
7,237032,-0.322265625,-0.330078125,-0.4296875,-0.0078125,-0.107421875,-0.099609375,0.0078125,0.107421875,0.099609375
7,22136,-0.58984375,-0.4765625,-0.396484375,0.11328125,0.193359375,0.080078125,0.11328125,0.193359375,0.080078125
